Employment_Type,Productivity_Score,Well_Being_Score,Hours_Worked_Per_Week
Remote,79,69,16
Remote,105,75,16
Remote,72,66,17
Remote,72,79,17
Remote,46,65,18
Remote,85,69,18
Remote,99,72,18
Remote,93,81,19
Remote,94,77,19
Remote,72,71,19
Remote,70,67,19
Remote,87,68,20
Remote,83,64,20
Remote,76,90,21
Remote,84,49,21
Remote,84,63,22
Remote,69,77,22
Remote,66,56,22
Remote,73,70,22
Remote,66,63,22
Remote,79,66,22
Remote,48,64,22
Remote,98,69,22
Remote,71,66,23
Remote,99,82,23
Remote,68,66,23
Remote,79,61,23
Remote,57,71,23
Remote,75,58,23
Remote,87,64,23
Remote,67,73,24
Remote,73,69,24
Remote,65,83,24
Remote,72,82,24
Remote,59,62,24
Remote,75,80,24
Remote,69,55,24
Remote,81,84,25
Remote,70,70,25
Remote,79,50,25
Remote,55,57,25
Remote,61,41,25
Remote,63,77,25
Remote,87,58,25
Remote,66,67,25
Remote,72,80,25
Remote,72,59,25
Remote,91,71,25
Remote,79,67,25
Remote,62,66,25
Remote,47,78,26
Remote,92,66,26
Remote,74,59,26
Remote,83,76,26
Remote,78,61,26
Remote,88,72,26
Remote,70,78,26
Remote,66,74,26
Remote,75,71,26
Remote,74,64,27
Remote,60,74,27
Remote,77,49,27
Remote,45,72,27
Remote,90,79,27
Remote,79,64,27
Remote,62,66,27
Remote,73,73,27
Remote,75,65,27
Remote,74,74,27
Remote,95,75,27
Remote,85,73,27
Remote,89,64,27
Remote,66,79,27
Remote,89,66,28
Remote,67,71,28
Remote,86,67,28
Remote,74,73,28
Remote,87,79,28
Remote,61,73,28
Remote,74,66,28
Remote,57,76,28
Remote,76,81,28
Remote,53,67,28
Remote,75,55,28
Remote,58,71,28
Remote,84,51,28
Remote,65,71,28
Remote,81,62,28
Remote,75,78,29
Remote,62,91,29
Remote,84,54,29
Remote,61,67,29
Remote,92,69,29
Remote,76,71,29
Remote,94,72,29
Remote,86,66,29
Remote,85,71,29
Remote,45,76,29
Remote,77,57,29
Remote,77,85,29
Remote,64,77,29
Remote,80,81,29
Remote,70,89,30
Remote,89,58,30
Remote,100,64,30
Remote,77,66,30
Remote,40,75,30
Remote,49,68,30
Remote,58,69,30
Remote,62,56,30
Remote,72,60,30
Remote,64,86,30
Remote,76,71,30
Remote,77,56,30
Remote,108,56,30
Remote,69,57,30
Remote,77,73,30
Remote,86,70,30
Remote,86,71,30
Remote,75,62,30
Remote,67,59,30
Remote,72,55,30
Remote,67,69,31
Remote,89,61,31
Remote,78,61,31
Remote,65,69,31
Remote,83,64,31
Remote,62,63,31
Remote,77,69,31
Remote,63,68,31
Remote,77,85,31
Remote,50,70,31
Remote,68,76,31
Remote,88,72,31
Remote,85,86,31
Remote,79,78,31
Remote,73,59,31
Remote,64,69,31
Remote,76,77,31
Remote,57,61,31
Remote,65,66,31
Remote,85,53,31
Remote,65,78,31
Remote,76,87,31
Remote,57,82,31
Remote,67,63,31
Remote,71,66,31
Remote,69,57,32
Remote,78,67,32
Remote,67,62,32
Remote,73,56,32
Remote,65,73,32
Remote,65,67,32
Remote,72,51,32
Remote,72,79,32
Remote,74,68,32
Remote,66,55,32
Remote,48,83,32
Remote,69,52,32
Remote,77,60,32
Remote,99,74,32
Remote,62,70,32
Remote,66,68,32
Remote,75,76,32
Remote,107,67,32
Remote,103,71,32
Remote,56,72,32
Remote,73,71,32
Remote,106,73,32
Remote,80,64,33
Remote,83,74,33
Remote,63,69,33
Remote,68,80,33
Remote,57,64,33
Remote,76,78,33
Remote,74,63,33
Remote,69,71,33
Remote,75,80,33
Remote,84,59,33
Remote,68,65,33
Remote,72,65,33
Remote,70,68,33
Remote,72,61,33
Remote,65,78,33
Remote,83,73,33
Remote,56,67,33
Remote,94,68,33
Remote,105,59,33
Remote,65,73,33
Remote,76,74,33
Remote,73,67,33
Remote,83,61,33
Remote,75,72,33
Remote,40,86,33
Remote,71,71,33
Remote,64,80,33
Remote,60,85,33
Remote,91,81,33
Remote,88,82,33
Remote,88,73,33
Remote,74,89,34
Remote,72,66,34
Remote,80,65,34
Remote,86,87,34
Remote,73,66,34
Remote,72,81,34
Remote,75,74,34
Remote,101,55,34
Remote,70,75,34
Remote,79,67,34
Remote,36,72,34
Remote,69,61,34
Remote,81,86,34
Remote,75,77,34
Remote,64,77,34
Remote,84,59,34
Remote,67,77,34
Remote,68,66,34
Remote,91,63,34
Remote,63,70,34
Remote,73,70,34
Remote,98,52,34
Remote,112,67,34
Remote,61,78,34
Remote,73,88,34
Remote,80,82,34
Remote,72,90,35
Remote,68,56,35
Remote,73,57,35
Remote,71,68,35
Remote,84,63,35
Remote,50,66,35
Remote,82,86,35
Remote,81,88,35
Remote,56,71,35
Remote,66,72,35
Remote,72,70,35
Remote,75,80,35
Remote,87,75,35
Remote,80,78,35
Remote,110,68,35
Remote,70,76,35
Remote,46,77,35
Remote,83,80,35
Remote,97,80,35
Remote,67,66,35
Remote,56,74,35
Remote,66,78,35
Remote,70,70,35
Remote,87,96,35
Remote,73,66,35
Remote,70,55,35
Remote,56,71,35
Remote,86,79,35
Remote,85,68,35
Remote,83,65,35
Remote,65,48,36
Remote,87,72,36
Remote,84,65,36
Remote,63,68,36
Remote,74,73,36
Remote,90,75,36
Remote,63,59,36
Remote,64,75,36
Remote,74,71,36
Remote,52,61,36
Remote,83,85,36
Remote,66,88,36
Remote,74,64,36
Remote,88,62,36
Remote,71,82,36
Remote,89,93,36
Remote,68,100,36
Remote,103,49,36
Remote,79,69,36
Remote,75,74,36
Remote,74,64,36
Remote,80,52,36
Remote,58,78,36
Remote,83,51,36
Remote,84,64,36
Remote,55,88,36
Remote,69,50,36
Remote,82,70,36
Remote,79,94,36
Remote,66,64,36
Remote,97,61,36
Remote,86,80,36
Remote,80,52,37
Remote,74,75,37
Remote,77,57,37
Remote,65,63,37
Remote,94,71,37
Remote,68,68,37
Remote,89,56,37
Remote,71,57,37
Remote,78,51,37
Remote,86,65,37
Remote,66,71,37
Remote,61,61,37
Remote,78,82,37
Remote,78,82,37
Remote,64,75,37
Remote,63,64,37
Remote,79,61,37
Remote,82,68,37
Remote,79,70,37
Remote,63,72,37
Remote,54,60,37
Remote,72,83,37
Remote,73,75,37
Remote,60,67,37
Remote,68,64,37
Remote,99,56,37
Remote,60,83,37
Remote,77,81,37
Remote,74,63,37
Remote,73,66,37
Remote,69,60,37
Remote,69,74,37
Remote,59,74,37
Remote,76,67,37
Remote,46,83,37
Remote,67,71,37
Remote,44,76,38
Remote,89,74,38
Remote,86,69,38
Remote,64,91,38
Remote,68,89,38
Remote,74,73,38
Remote,67,53,38
Remote,50,66,38
Remote,58,72,38
Remote,83,50,38
Remote,48,69,38
Remote,75,66,38
Remote,51,49,38
Remote,77,82,38
Remote,83,93,38
Remote,87,65,38
Remote,96,56,38
Remote,62,67,38
Remote,76,56,38
Remote,82,57,38
Remote,87,54,38
Remote,85,68,38
Remote,78,60,38
Remote,77,80,38
Remote,64,55,38
Remote,73,60,38
Remote,71,55,38
Remote,70,77,38
Remote,60,76,38
Remote,65,69,39
Remote,81,62,39
Remote,108,68,39
Remote,66,54,39
Remote,81,65,39
Remote,74,58,39
Remote,62,87,39
Remote,55,74,39
Remote,88,78,39
Remote,81,68,39
Remote,82,50,39
Remote,65,57,39
Remote,82,66,39
Remote,91,74,39
Remote,56,72,39
Remote,86,69,39
Remote,70,77,39
Remote,68,64,39
Remote,78,60,39
Remote,74,67,39
Remote,56,55,39
Remote,61,82,39
Remote,69,90,39
Remote,75,77,39
Remote,77,57,40
Remote,73,65,40
Remote,63,74,40
Remote,88,65,40
Remote,71,69,40
Remote,58,60,40
Remote,72,81,40
Remote,73,63,40
Remote,75,60,40
Remote,74,82,40
Remote,83,72,40
Remote,67,61,40
Remote,67,81,40
Remote,71,54,40
Remote,79,85,40
Remote,61,70,40
Remote,64,75,40
Remote,49,81,41
Remote,62,83,41
Remote,71,83,41
Remote,58,86,41
Remote,58,71,41
Remote,80,58,41
Remote,72,75,41
Remote,67,76,41
Remote,77,89,41
Remote,91,61,41
Remote,65,73,41
Remote,59,54,41
Remote,88,50,41
Remote,65,78,41
Remote,78,83,42
Remote,76,62,42
Remote,77,72,42
Remote,67,79,42
Remote,80,54,42
Remote,70,83,42
Remote,80,62,42
Remote,72,77,42
Remote,82,86,42
Remote,66,50,42
Remote,75,80,42
Remote,64,66,42
Remote,56,50,42
Remote,59,74,42
Remote,67,70,43
Remote,86,70,43
Remote,82,61,43
Remote,79,60,43
Remote,67,46,43
Remote,73,66,43
Remote,97,78,43
Remote,68,58,43
Remote,40,69,43
Remote,66,62,43
Remote,81,48,43
Remote,65,80,43
Remote,65,65,43
Remote,79,67,43
Remote,56,82,43
Remote,60,74,43
Remote,101,66,43
Remote,81,69,44
Remote,71,43,44
Remote,82,64,44
Remote,94,101,44
Remote,81,78,44
Remote,85,78,44
Remote,69,79,44
Remote,69,77,44
Remote,67,61,44
Remote,60,72,44
Remote,76,73,44
Remote,106,58,44
Remote,72,70,44
Remote,63,74,44
Remote,86,63,44
Remote,75,64,45
Remote,66,59,45
Remote,60,64,45
Remote,78,82,45
Remote,83,58,46
Remote,63,86,46
Remote,84,78,46
Remote,70,76,46
Remote,72,70,46
Remote,73,66,46
Remote,71,47,46
Remote,60,58,46
Remote,79,81,46
Remote,98,73,46
Remote,68,62,46
Remote,67,81,46
Remote,77,66,47
Remote,66,86,47
Remote,70,72,47
Remote,78,55,47
Remote,73,73,47
Remote,53,59,49
Remote,75,77,49
Remote,90,66,49
Remote,56,81,49
Remote,89,81,49
Remote,73,75,49
Remote,70,74,50
Remote,80,69,50
Remote,71,60,50
Remote,60,59,50
Remote,66,86,50
Remote,84,81,51
Remote,78,82,52
Remote,63,60,55
Remote,84,61,56
In-Office,78,71,28
In-Office,63,38,28
In-Office,62,57,29
In-Office,55,84,30
In-Office,66,81,31
In-Office,53,73,31
In-Office,81,66,31
In-Office,63,51,32
In-Office,50,39,32
In-Office,74,64,32
In-Office,64,69,33
In-Office,61,75,33
In-Office,71,47,33
In-Office,65,69,33
In-Office,59,42,33
In-Office,52,28,34
In-Office,61,58,34
In-Office,59,43,34
In-Office,42,63,34
In-Office,66,59,34
In-Office,55,67,34
In-Office,58,83,34
In-Office,63,60,34
In-Office,56,70,34
In-Office,68,97,35
In-Office,47,50,35
In-Office,63,64,35
In-Office,54,61,35
In-Office,69,56,35
In-Office,57,69,35
In-Office,51,27,35
In-Office,57,50,35
In-Office,66,66,35
In-Office,77,77,36
In-Office,51,64,36
In-Office,55,54,36
In-Office,70,19,36
In-Office,72,59,36
In-Office,64,35,36
In-Office,60,58,36
In-Office,72,56,36
In-Office,60,56,36
In-Office,73,76,36
In-Office,52,64,37
In-Office,85,83,37
In-Office,72,68,37
In-Office,49,50,37
In-Office,49,69,37
In-Office,55,39,37
In-Office,44,17,37
In-Office,62,75,37
In-Office,63,76,37
In-Office,77,70,37
In-Office,53,70,37
In-Office,60,45,37
In-Office,82,60,37
In-Office,63,50,37
In-Office,53,50,37
In-Office,57,40,38
In-Office,61,62,38
In-Office,50,48,38
In-Office,68,61,38
In-Office,67,75,38
In-Office,74,58,38
In-Office,76,62,38
In-Office,72,62,38
In-Office,58,62,38
In-Office,62,54,38
In-Office,73,45,38
In-Office,33,64,38
In-Office,73,42,38
In-Office,67,28,38
In-Office,60,66,38
In-Office,60,48,38
In-Office,74,80,38
In-Office,49,55,39
In-Office,75,65,39
In-Office,65,41,39
In-Office,55,61,39
In-Office,57,53,39
In-Office,66,52,39
In-Office,67,71,39
In-Office,72,65,39
In-Office,71,55,39
In-Office,62,78,39
In-Office,63,37,39
In-Office,56,75,39
In-Office,77,45,39
In-Office,70,58,39
In-Office,59,56,39
In-Office,51,80,39
In-Office,75,95,39
In-Office,62,44,39
In-Office,66,54,39
In-Office,53,54,39
In-Office,59,57,40
In-Office,57,76,40
In-Office,53,63,40
In-Office,66,65,40
In-Office,44,62,40
In-Office,70,64,40
In-Office,47,67,40
In-Office,48,52,40
In-Office,74,67,40
In-Office,49,57,40
In-Office,60,59,40
In-Office,67,77,40
In-Office,66,50,40
In-Office,56,61,40
In-Office,75,27,40
In-Office,62,42,40
In-Office,65,39,40
In-Office,82,75,40
In-Office,51,54,40
In-Office,63,36,40
In-Office,58,51,40
In-Office,53,64,40
In-Office,67,66,40
In-Office,66,50,40
In-Office,71,54,40
In-Office,78,63,40
In-Office,58,18,40
In-Office,83,61,40
In-Office,58,54,40
In-Office,86,60,40
In-Office,76,82,40
In-Office,50,64,40
In-Office,53,76,40
In-Office,60,56,40
In-Office,80,69,41
In-Office,53,57,41
In-Office,70,50,41
In-Office,60,69,41
In-Office,63,61,41
In-Office,56,51,41
In-Office,69,17,41
In-Office,72,32,41
In-Office,70,36,41
In-Office,51,43,41
In-Office,73,60,41
In-Office,66,74,41
In-Office,73,41,41
In-Office,65,55,41
In-Office,67,37,41
In-Office,59,67,41
In-Office,78,72,41
In-Office,60,63,41
In-Office,64,70,41
In-Office,43,90,41
In-Office,49,72,41
In-Office,54,60,41
In-Office,49,72,41
In-Office,51,70,41
In-Office,74,83,41
In-Office,62,63,41
In-Office,64,77,41
In-Office,56,51,41
In-Office,62,44,41
In-Office,76,60,41
In-Office,65,65,41
In-Office,67,52,41
In-Office,81,69,41
In-Office,48,53,41
In-Office,83,60,41
In-Office,65,74,41
In-Office,54,94,41
In-Office,74,58,41
In-Office,71,80,41
In-Office,71,80,41
In-Office,64,44,42
In-Office,53,54,42
In-Office,74,68,42
In-Office,44,54,42
In-Office,58,61,42
In-Office,68,95,42
In-Office,68,32,42
In-Office,75,67,42
In-Office,80,60,42
In-Office,70,60,42
In-Office,77,60,42
In-Office,75,54,42
In-Office,60,75,42
In-Office,73,44,42
In-Office,52,74,42
In-Office,55,30,42
In-Office,52,57,42
In-Office,82,48,42
In-Office,64,59,42
In-Office,66,59,42
In-Office,51,46,42
In-Office,42,80,42
In-Office,62,58,42
In-Office,56,49,43
In-Office,76,73,43
In-Office,59,64,43
In-Office,61,49,43
In-Office,78,38,43
In-Office,71,49,43
In-Office,73,61,43
In-Office,78,56,43
In-Office,48,66,43
In-Office,55,53,43
In-Office,73,51,43
In-Office,62,69,43
In-Office,63,67,43
In-Office,66,43,43
In-Office,72,40,43
In-Office,75,54,43
In-Office,64,62,43
In-Office,55,104,43
In-Office,61,72,43
In-Office,70,63,43
In-Office,76,52,43
In-Office,64,69,43
In-Office,66,82,43
In-Office,63,79,43
In-Office,61,34,43
In-Office,71,59,43
In-Office,70,31,43
In-Office,70,81,43
In-Office,71,58,43
In-Office,60,87,43
In-Office,58,78,43
In-Office,79,67,43
In-Office,56,54,44
In-Office,59,16,44
In-Office,64,60,44
In-Office,68,81,44
In-Office,68,75,44
In-Office,65,61,44
In-Office,76,58,44
In-Office,70,72,44
In-Office,68,52,44
In-Office,61,39,44
In-Office,56,72,44
In-Office,70,27,44
In-Office,74,63,44
In-Office,68,73,44
In-Office,49,45,44
In-Office,49,66,44
In-Office,60,85,44
In-Office,58,68,44
In-Office,88,77,44
In-Office,64,63,44
In-Office,48,43,44
In-Office,70,55,44
In-Office,80,71,44
In-Office,71,49,44
In-Office,56,48,44
In-Office,66,60,44
In-Office,63,69,44
In-Office,67,63,44
In-Office,60,76,44
In-Office,52,80,44
In-Office,39,57,44
In-Office,72,61,44
In-Office,56,61,44
In-Office,63,66,44
In-Office,77,76,44
In-Office,54,53,44
In-Office,65,57,44
In-Office,63,57,44
In-Office,49,47,45
In-Office,58,62,45
In-Office,53,85,45
In-Office,60,56,45
In-Office,52,49,45
In-Office,63,65,45
In-Office,83,45,45
In-Office,44,62,45
In-Office,45,69,45
In-Office,50,45,45
In-Office,69,55,45
In-Office,49,80,45
In-Office,47,67,45
In-Office,74,69,45
In-Office,70,67,45
In-Office,44,81,45
In-Office,71,70,45
In-Office,69,84,45
In-Office,72,73,45
In-Office,60,48,45
In-Office,71,57,45
In-Office,52,63,45
In-Office,63,53,45
In-Office,81,59,45
In-Office,65,43,45
In-Office,69,70,45
In-Office,54,57,45
In-Office,58,69,45
In-Office,49,77,45
In-Office,53,73,45
In-Office,69,49,45
In-Office,72,69,45
In-Office,71,86,45
In-Office,63,76,45
In-Office,66,80,45
In-Office,47,64,45
In-Office,48,22,45
In-Office,78,56,45
In-Office,76,66,45
In-Office,69,54,45
In-Office,73,34,45
In-Office,78,39,45
In-Office,64,46,45
In-Office,65,53,45
In-Office,74,61,45
In-Office,51,53,46
In-Office,71,81,46
In-Office,61,65,46
In-Office,65,45,46
In-Office,75,47,46
In-Office,72,35,46
In-Office,79,66,46
In-Office,55,64,46
In-Office,53,75,46
In-Office,55,59,46
In-Office,56,82,46
In-Office,62,51,46
In-Office,74,67,46
In-Office,63,41,46
In-Office,54,60,46
In-Office,60,56,46
In-Office,53,54,46
In-Office,76,37,46
In-Office,57,70,46
In-Office,64,45,46
In-Office,69,45,46
In-Office,63,74,46
In-Office,53,65,46
In-Office,61,57,46
In-Office,76,66,47
In-Office,57,66,47
In-Office,70,66,47
In-Office,68,77,47
In-Office,77,43,47
In-Office,66,67,47
In-Office,66,44,47
In-Office,68,37,47
In-Office,67,30,47
In-Office,60,75,47
In-Office,75,46,47
In-Office,63,72,47
In-Office,79,52,47
In-Office,71,63,47
In-Office,78,56,47
In-Office,71,47,47
In-Office,67,74,47
In-Office,58,74,47
In-Office,71,52,47
In-Office,69,34,47
In-Office,68,55,47
In-Office,79,45,47
In-Office,69,36,47
In-Office,75,30,47
In-Office,68,67,47
In-Office,55,51,47
In-Office,50,46,47
In-Office,61,52,47
In-Office,53,37,47
In-Office,56,92,47
In-Office,73,50,47
In-Office,62,45,47
In-Office,70,69,47
In-Office,66,58,48
In-Office,84,72,48
In-Office,69,76,48
In-Office,57,57,48
In-Office,57,38,48
In-Office,59,50,48
In-Office,67,43,48
In-Office,71,64,48
In-Office,67,30,48
In-Office,60,71,48
In-Office,56,71,48
In-Office,57,45,48
In-Office,65,25,48
In-Office,74,52,48
In-Office,62,61,48
In-Office,65,49,48
In-Office,59,32,48
In-Office,74,87,48
In-Office,62,76,48
In-Office,65,47,48
In-Office,61,52,48
In-Office,58,64,48
In-Office,55,39,48
In-Office,73,62,48
In-Office,72,45,49
In-Office,63,53,49
In-Office,67,55,49
In-Office,68,52,49
In-Office,66,56,49
In-Office,66,75,49
In-Office,70,67,49
In-Office,70,59,49
In-Office,74,64,49
In-Office,63,68,49
In-Office,54,66,49
In-Office,90,26,49
In-Office,62,39,49
In-Office,72,34,49
In-Office,51,37,49
In-Office,43,66,49
In-Office,73,74,49
In-Office,70,56,49
In-Office,79,55,49
In-Office,44,56,49
In-Office,53,72,50
In-Office,62,75,50
In-Office,72,60,50
In-Office,62,71,50
In-Office,64,63,50
In-Office,57,63,50
In-Office,58,59,50
In-Office,69,61,50
In-Office,81,79,50
In-Office,74,61,50
In-Office,88,59,50
In-Office,53,48,50
In-Office,66,58,50
In-Office,59,57,50
In-Office,65,80,50
In-Office,64,48,50
In-Office,69,63,50
In-Office,65,67,50
In-Office,77,65,50
In-Office,60,68,50
In-Office,74,55,50
In-Office,71,94,51
In-Office,60,48,51
In-Office,61,43,51
In-Office,49,14,51
In-Office,58,60,51
In-Office,59,45,51
In-Office,74,53,51
In-Office,62,81,51
In-Office,44,59,51
In-Office,47,66,51
In-Office,65,52,51
In-Office,63,51,51
In-Office,79,63,51
In-Office,56,59,51
In-Office,72,94,51
In-Office,42,67,52
In-Office,84,41,52
In-Office,75,73,52
In-Office,60,49,52
In-Office,74,63,52
In-Office,54,68,52
In-Office,51,67,52
In-Office,54,48,52
In-Office,62,54,52
In-Office,67,42,52
In-Office,66,52,52
In-Office,58,70,52
In-Office,81,64,52
In-Office,74,38,52
In-Office,66,72,52
In-Office,80,51,52
In-Office,66,25,52
In-Office,61,33,52
In-Office,52,69,52
In-Office,64,54,52
In-Office,60,38,52
In-Office,53,49,52
In-Office,83,58,53
In-Office,55,47,53
In-Office,69,60,53
In-Office,72,66,53
In-Office,70,44,53
In-Office,63,63,53
In-Office,64,32,53
In-Office,71,84,53
In-Office,61,52,53
In-Office,74,57,53
In-Office,89,60,53
In-Office,75,54,53
In-Office,72,57,53
In-Office,68,47,54
In-Office,49,84,54
In-Office,56,60,54
In-Office,64,44,54
In-Office,51,47,54
In-Office,47,66,55
In-Office,45,79,55
In-Office,59,72,55
In-Office,58,59,55
In-Office,81,78,55
In-Office,57,47,55
In-Office,57,40,55
In-Office,62,25,55
In-Office,66,75,56
In-Office,69,64,56
In-Office,46,51,56
In-Office,69,61,56
In-Office,53,83,56
In-Office,75,54,57
In-Office,69,52,57
In-Office,54,54,57
In-Office,49,30,57
In-Office,50,52,57
In-Office,73,68,58
In-Office,61,49,58
In-Office,56,67,58
In-Office,51,71,58
In-Office,64,38,60
In-Office,61,70,61
In-Office,54,39,61
In-Office,88,57,64